Series ID,Year,Period,Label,Value
LASST020000000000003,2019,M01,2019 Jan,6.1
LASST020000000000003,2019,M02,2019 Feb,6.1
LASST020000000000003,2019,M03,2019 Mar,6.1
LASST020000000000003,2019,M04,2019 Apr,6.1
LASST020000000000003,2019,M05,2019 May,6.2
LASST020000000000003,2019,M06,2019 Jun,6.2
LASST020000000000003,2019,M07,2019 Jul,6.2
LASST020000000000003,2019,M08,2019 Aug,6.2
LASST020000000000003,2019,M09,2019 Sep,6.2
LASST020000000000003,2019,M10,2019 Oct,6.1
LASST020000000000003,2019,M11,2019 Nov,6.1
LASST020000000000003,2019,M12,2019 Dec,6.1
LASST020000000000003,2020,M01,2020 Jan,6
LASST020000000000003,2020,M02,2020 Feb,5.8
LASST020000000000003,2020,M03,2020 Mar,5.2
LASST020000000000003,2020,M04,2020 Apr,13.5
LASST020000000000003,2020,M05,2020 May,12.7
LASST020000000000003,2020,M06,2020 Jun,12.4
LASST020000000000003,2020,M07,2020 Jul,11.6
LASST020000000000003,2020,M08,2020 Aug,7.4
