Series ID,Year,Period,Label,Value
LNU04028615,2019,M01,2019 Jan,2.6
LNU04028615,2019,M02,2019 Feb,1.8
LNU04028615,2019,M03,2019 Mar,1.9
LNU04028615,2019,M04,2019 Apr,1.6
LNU04028615,2019,M05,2019 May,2.1
LNU04028615,2019,M06,2019 Jun,3.3
LNU04028615,2019,M07,2019 Jul,3.9
LNU04028615,2019,M08,2019 Aug,3.1
LNU04028615,2019,M09,2019 Sep,1.8
LNU04028615,2019,M10,2019 Oct,1.9
LNU04028615,2019,M11,2019 Nov,1.8
LNU04028615,2019,M12,2019 Dec,1.8
LNU04028615,2020,M01,2020 Jan,2.1
LNU04028615,2020,M02,2020 Feb,1.6
LNU04028615,2020,M03,2020 Mar,2.2
LNU04028615,2020,M04,2020 Apr,9.3
LNU04028615,2020,M05,2020 May,7.4
LNU04028615,2020,M06,2020 Jun,7.3
LNU04028615,2020,M07,2020 Jul,8.4
LNU04028615,2020,M08,2020 Aug,5.7
LNU04028615,2020,M09,2020 Sep,4.1
