Series ID,Year,Period,Label,Value
LNU04034262,2019,M01,2019 Jan,6.5
LNU04034262,2019,M02,2019 Feb,6.2
LNU04034262,2019,M03,2019 Mar,5.9
LNU04034262,2019,M04,2019 Apr,4.4
LNU04034262,2019,M05,2019 May,5.3
LNU04034262,2019,M06,2019 Jun,5.5
LNU04034262,2019,M07,2019 Jul,5.9
LNU04034262,2019,M08,2019 Aug,4.9
LNU04034262,2019,M09,2019 Sep,4.6
LNU04034262,2019,M10,2019 Oct,5.1
LNU04034262,2019,M11,2019 Nov,4.8
LNU04034262,2019,M12,2019 Dec,5
LNU04034262,2020,M01,2020 Jan,6.2
LNU04034262,2020,M02,2020 Feb,5.7
LNU04034262,2020,M03,2020 Mar,8.5
LNU04034262,2020,M04,2020 Apr,35.4
LNU04034262,2020,M05,2020 May,32.3
LNU04034262,2020,M06,2020 Jun,24.1
LNU04034262,2020,M07,2020 Jul,21.8
LNU04034262,2020,M08,2020 Aug,18.8
LNU04034262,2020,M09,2020 Sep,16.4
