Series ID,Year,Period,Label,Value
LNU04034244,2019,M01,2019 Jan,1
LNU04034244,2019,M02,2019 Feb,1.2
LNU04034244,2019,M03,2019 Mar,1.7
LNU04034244,2019,M04,2019 Apr,1.3
LNU04034244,2019,M05,2019 May,1.4
LNU04034244,2019,M06,2019 Jun,1.8
LNU04034244,2019,M07,2019 Jul,1.1
LNU04034244,2019,M08,2019 Aug,1.3
LNU04034244,2019,M09,2019 Sep,1.4
LNU04034244,2019,M10,2019 Oct,1
LNU04034244,2019,M11,2019 Nov,1.2
LNU04034244,2019,M12,2019 Dec,1.1
LNU04034244,2020,M01,2020 Jan,1.5
LNU04034244,2020,M02,2020 Feb,1.4
LNU04034244,2020,M03,2020 Mar,1.5
LNU04034244,2020,M04,2020 Apr,4.2
LNU04034244,2020,M05,2020 May,3.7
LNU04034244,2020,M06,2020 Jun,4.2
LNU04034244,2020,M07,2020 Jul,3.2
LNU04034244,2020,M08,2020 Aug,2.6
LNU04034244,2020,M09,2020 Sep,2
