Series ID,Year,Period,Label,Value
LASST160000000000003,2019,M01,2019 Jan,2.9
LASST160000000000003,2019,M02,2019 Feb,2.9
LASST160000000000003,2019,M03,2019 Mar,2.9
LASST160000000000003,2019,M04,2019 Apr,2.9
LASST160000000000003,2019,M05,2019 May,2.9
LASST160000000000003,2019,M06,2019 Jun,2.9
LASST160000000000003,2019,M07,2019 Jul,2.9
LASST160000000000003,2019,M08,2019 Aug,2.9
LASST160000000000003,2019,M09,2019 Sep,2.9
LASST160000000000003,2019,M10,2019 Oct,2.9
LASST160000000000003,2019,M11,2019 Nov,2.9
LASST160000000000003,2019,M12,2019 Dec,2.9
LASST160000000000003,2020,M01,2020 Jan,2.8
LASST160000000000003,2020,M02,2020 Feb,2.7
LASST160000000000003,2020,M03,2020 Mar,2.5
LASST160000000000003,2020,M04,2020 Apr,11.8
LASST160000000000003,2020,M05,2020 May,9
LASST160000000000003,2020,M06,2020 Jun,5.8
LASST160000000000003,2020,M07,2020 Jul,5.1
LASST160000000000003,2020,M08,2020 Aug,4.2
