Series ID,Year,Period,Label,Value
LASST280000000000003,2019,M01,2019 Jan,5.1
LASST280000000000003,2019,M02,2019 Feb,5.2
LASST280000000000003,2019,M03,2019 Mar,5.3
LASST280000000000003,2019,M04,2019 Apr,5.3
LASST280000000000003,2019,M05,2019 May,5.4
LASST280000000000003,2019,M06,2019 Jun,5.4
LASST280000000000003,2019,M07,2019 Jul,5.5
LASST280000000000003,2019,M08,2019 Aug,5.5
LASST280000000000003,2019,M09,2019 Sep,5.6
LASST280000000000003,2019,M10,2019 Oct,5.6
LASST280000000000003,2019,M11,2019 Nov,5.6
LASST280000000000003,2019,M12,2019 Dec,5.6
LASST280000000000003,2020,M01,2020 Jan,5.5
LASST280000000000003,2020,M02,2020 Feb,5.4
LASST280000000000003,2020,M03,2020 Mar,5.1
LASST280000000000003,2020,M04,2020 Apr,16.3
LASST280000000000003,2020,M05,2020 May,10.5
LASST280000000000003,2020,M06,2020 Jun,8.8
LASST280000000000003,2020,M07,2020 Jul,9.4
LASST280000000000003,2020,M08,2020 Aug,7.9
