Series ID,Year,Period,Label,Value
LNU04034179,2019,M01,2019 Jan,6.2
LNU04034179,2019,M02,2019 Feb,3.6
LNU04034179,2019,M03,2019 Mar,9.9
LNU04034179,2019,M04,2019 Apr,9.7
LNU04034179,2019,M05,2019 May,8.5
LNU04034179,2019,M06,2019 Jun,4.2
LNU04034179,2019,M07,2019 Jul,5.7
LNU04034179,2019,M08,2019 Aug,7.2
LNU04034179,2019,M09,2019 Sep,8.9
LNU04034179,2019,M10,2019 Oct,5.3
LNU04034179,2019,M11,2019 Nov,4
LNU04034179,2019,M12,2019 Dec,3.3
LNU04034179,2020,M01,2020 Jan,4.4
LNU04034179,2020,M02,2020 Feb,3.2
LNU04034179,2020,M03,2020 Mar,1.8
LNU04034179,2020,M04,2020 Apr,31.3
LNU04034179,2020,M05,2020 May,31.5
LNU04034179,2020,M06,2020 Jun,39.6
LNU04034179,2020,M07,2020 Jul,34.5
LNU04034179,2020,M08,2020 Aug,20.2
LNU04034179,2020,M09,2020 Sep,25.4
