Series ID,Year,Period,Label,Value
LASST350000000000003,2019,M01,2019 Jan,5
LASST350000000000003,2019,M02,2019 Feb,5
LASST350000000000003,2019,M03,2019 Mar,5
LASST350000000000003,2019,M04,2019 Apr,5
LASST350000000000003,2019,M05,2019 May,4.9
LASST350000000000003,2019,M06,2019 Jun,4.9
LASST350000000000003,2019,M07,2019 Jul,4.8
LASST350000000000003,2019,M08,2019 Aug,4.8
LASST350000000000003,2019,M09,2019 Sep,4.8
LASST350000000000003,2019,M10,2019 Oct,4.8
LASST350000000000003,2019,M11,2019 Nov,4.8
LASST350000000000003,2019,M12,2019 Dec,4.8
LASST350000000000003,2020,M01,2020 Jan,4.8
LASST350000000000003,2020,M02,2020 Feb,4.8
LASST350000000000003,2020,M03,2020 Mar,6.3
LASST350000000000003,2020,M04,2020 Apr,11.9
LASST350000000000003,2020,M05,2020 May,9.1
LASST350000000000003,2020,M06,2020 Jun,8.4
LASST350000000000003,2020,M07,2020 Jul,12.7
LASST350000000000003,2020,M08,2020 Aug,11.3
