Series ID,Year,Period,Label,Value
LNU04032230,2019,M01,2019 Jan,5.3
LNU04032230,2019,M02,2019 Feb,3.6
LNU04032230,2019,M03,2019 Mar,3.6
LNU04032230,2019,M04,2019 Apr,2.4
LNU04032230,2019,M05,2019 May,5
LNU04032230,2019,M06,2019 Jun,3.2
LNU04032230,2019,M07,2019 Jul,2.3
LNU04032230,2019,M08,2019 Aug,1.1
LNU04032230,2019,M09,2019 Sep,1.7
LNU04032230,2019,M10,2019 Oct,2.8
LNU04032230,2019,M11,2019 Nov,3.2
LNU04032230,2019,M12,2019 Dec,3.8
LNU04032230,2020,M01,2020 Jan,1.9
LNU04032230,2020,M02,2020 Feb,5
LNU04032230,2020,M03,2020 Mar,6.2
LNU04032230,2020,M04,2020 Apr,10.2
LNU04032230,2020,M05,2020 May,8.4
LNU04032230,2020,M06,2020 Jun,17.8
LNU04032230,2020,M07,2020 Jul,15.6
LNU04032230,2020,M08,2020 Aug,12.4
LNU04032230,2020,M09,2020 Sep,14.9
