Series ID,Year,Period,Label,Value
LASST530000000000003,2019,M01,2019 Jan,4.5
LASST530000000000003,2019,M02,2019 Feb,4.5
LASST530000000000003,2019,M03,2019 Mar,4.5
LASST530000000000003,2019,M04,2019 Apr,4.4
LASST530000000000003,2019,M05,2019 May,4.4
LASST530000000000003,2019,M06,2019 Jun,4.3
LASST530000000000003,2019,M07,2019 Jul,4.2
LASST530000000000003,2019,M08,2019 Aug,4.2
LASST530000000000003,2019,M09,2019 Sep,4.1
LASST530000000000003,2019,M10,2019 Oct,4
LASST530000000000003,2019,M11,2019 Nov,4
LASST530000000000003,2019,M12,2019 Dec,4
LASST530000000000003,2020,M01,2020 Jan,3.9
LASST530000000000003,2020,M02,2020 Feb,3.8
LASST530000000000003,2020,M03,2020 Mar,5.1
LASST530000000000003,2020,M04,2020 Apr,16.3
LASST530000000000003,2020,M05,2020 May,15.1
LASST530000000000003,2020,M06,2020 Jun,10
LASST530000000000003,2020,M07,2020 Jul,10.2
LASST530000000000003,2020,M08,2020 Aug,8.5
